person_id,identifier,scheme
uk.org.publicwhip/person/10021,Q338388,wikidata
uk.org.publicwhip/person/10022,102,historichansard_person_id
uk.org.publicwhip/person/10022,28,datadotparl_id
uk.org.publicwhip/person/10022,Q260082,wikidata
uk.org.publicwhip/person/10023,Q260324,wikidata
uk.org.publicwhip/person/10023,93,datadotparl_id
uk.org.publicwhip/person/10023,103,historichansard_person_id
uk.org.publicwhip/person/10024,104,historichansard_person_id
uk.org.publicwhip/person/10024,Q6116208,wikidata
uk.org.publicwhip/person/10025,105,historichansard_person_id
uk.org.publicwhip/person/10025,3748,datadotparl_id
uk.org.publicwhip/person/10025,3873,pims_id
uk.org.publicwhip/person/10025,Q333584,wikidata
uk.org.publicwhip/person/10026,106,historichansard_person_id
uk.org.publicwhip/person/10026,Q5566061,wikidata
uk.org.publicwhip/person/10027,Q260631,wikidata
uk.org.publicwhip/person/10027,3894,pims_id
uk.org.publicwhip/person/10027,392,datadotparl_id
uk.org.publicwhip/person/10027,3080,yournextmp
uk.org.publicwhip/person/10027,107,historichansard_person_id
uk.org.publicwhip/person/10028,108,historichansard_person_id
uk.org.publicwhip/person/10028,Q337561,wikidata
uk.org.publicwhip/person/10029,109,historichansard_person_id
uk.org.publicwhip/person/10029,385,datadotparl_id
uk.org.publicwhip/person/10029,Q260748,wikidata
uk.org.publicwhip/person/10030,110,historichansard_person_id
uk.org.publicwhip/person/10030,Q5567795,wikidata
uk.org.publicwhip/person/10031,Q232639,wikidata
uk.org.publicwhip/person/10031,3931,pims_id
uk.org.publicwhip/person/10031,328,datadotparl_id
uk.org.publicwhip/person/10031,111,historichansard_person_id
uk.org.publicwhip/person/10031,3393,yournextmp
uk.org.publicwhip/person/10032,112,historichansard_person_id
uk.org.publicwhip/person/10032,572,datadotparl_id
uk.org.publicwhip/person/10032,Q260876,wikidata
uk.org.publicwhip/person/10033,113,historichansard_person_id
uk.org.publicwhip/person/10033,Q5568755,wikidata
uk.org.publicwhip/person/10034,Q260960,wikidata
uk.org.publicwhip/person/10034,513,datadotparl_id
uk.org.publicwhip/person/10034,114,historichansard_person_id
uk.org.publicwhip/person/10034,3936,pims_id
uk.org.publicwhip/person/10035,115,historichansard_person_id
uk.org.publicwhip/person/10035,Q333499,wikidata
uk.org.publicwhip/person/10036,116,historichansard_person_id
uk.org.publicwhip/person/10036,Q261957,wikidata
uk.org.publicwhip/person/10037,118,historichansard_person_id
uk.org.publicwhip/person/10037,Q332412,wikidata
uk.org.publicwhip/person/10038,Q4756329,wikidata
uk.org.publicwhip/person/10038,119,historichansard_person_id
uk.org.publicwhip/person/10039,120,historichansard_person_id
uk.org.publicwhip/person/10039,479,datadotparl_id
uk.org.publicwhip/person/10039,Q262872,wikidata
uk.org.publicwhip/person/10040,357,yournextmp
uk.org.publicwhip/person/10040,3965,pims_id
uk.org.publicwhip/person/10040,121,historichansard_person_id
uk.org.publicwhip/person/10040,17,datadotparl_id
uk.org.publicwhip/person/10040,Q263147,wikidata
uk.org.publicwhip/person/10041,103,datadotparl_id
uk.org.publicwhip/person/10041,Q263243,wikidata
uk.org.publicwhip/person/10041,3969,pims_id
uk.org.publicwhip/person/10041,122,historichansard_person_id
uk.org.publicwhip/person/10041,3051,yournextmp
uk.org.publicwhip/person/10042,123,historichansard_person_id
uk.org.publicwhip/person/10042,Q5552654,wikidata
uk.org.publicwhip/person/10043,124,historichansard_person_id
uk.org.publicwhip/person/10043,Q5574271,wikidata
uk.org.publicwhip/person/10044,125,historichansard_person_id
uk.org.publicwhip/person/10044,Q5574771,wikidata
uk.org.publicwhip/person/10045,Q263508,wikidata
uk.org.publicwhip/person/10045,3992,pims_id
uk.org.publicwhip/person/10045,394,datadotparl_id
uk.org.publicwhip/person/10045,126,historichansard_person_id
uk.org.publicwhip/person/10045,1074,yournextmp
uk.org.publicwhip/person/10046,127,historichansard_person_id
uk.org.publicwhip/person/10046,Q4939430,wikidata
uk.org.publicwhip/person/10047,128,historichansard_person_id
uk.org.publicwhip/person/10047,Q9545,wikidata
uk.org.publicwhip/person/10048,Q264023,wikidata
uk.org.publicwhip/person/10048,456,datadotparl_id
uk.org.publicwhip/person/10048,129,historichansard_person_id
uk.org.publicwhip/person/10049,130,historichansard_person_id
uk.org.publicwhip/person/10049,Q4931857,wikidata
uk.org.publicwhip/person/10050,131,historichansard_person_id
uk.org.publicwhip/person/10050,395,datadotparl_id
uk.org.publicwhip/person/10050,4044,pims_id
uk.org.publicwhip/person/10050,Q264196,wikidata
uk.org.publicwhip/person/10051,132,historichansard_person_id
uk.org.publicwhip/person/10051,104,datadotparl_id
uk.org.publicwhip/person/10051,1641,yournextmp
uk.org.publicwhip/person/10051,4045,pims_id
uk.org.publicwhip/person/10051,Q264305,wikidata
uk.org.publicwhip/person/10052,133,historichansard_person_id
uk.org.publicwhip/person/10052,147,datadotparl_id
uk.org.publicwhip/person/10052,5772,pims_id
uk.org.publicwhip/person/10052,Q332667,wikidata
uk.org.publicwhip/person/10053,134,historichansard_person_id
uk.org.publicwhip/person/10053,Q7324235,wikidata
uk.org.publicwhip/person/10054,Q333722,wikidata
uk.org.publicwhip/person/10054,4075,pims_id
uk.org.publicwhip/person/10054,679,datadotparl_id
uk.org.publicwhip/person/10054,135,historichansard_person_id
uk.org.publicwhip/person/10055,136,historichansard_person_id
uk.org.publicwhip/person/10055,Q334100,wikidata
uk.org.publicwhip/person/10056,137,historichansard_person_id
uk.org.publicwhip/person/10056,352,datadotparl_id
uk.org.publicwhip/person/10056,5808,pims_id
uk.org.publicwhip/person/10056,Q334491,wikidata
uk.org.publicwhip/person/10057,Q264477,wikidata
uk.org.publicwhip/person/10057,1642,yournextmp
uk.org.publicwhip/person/10057,4087,pims_id
uk.org.publicwhip/person/10057,138,historichansard_person_id
uk.org.publicwhip/person/10057,117,datadotparl_id
uk.org.publicwhip/person/10058,139,historichansard_person_id
uk.org.publicwhip/person/10058,106,datadotparl_id
uk.org.publicwhip/person/10058,4890,pims_id
uk.org.publicwhip/person/10058,Q332696,wikidata
uk.org.publicwhip/person/10059,Q334213,wikidata
uk.org.publicwhip/person/10059,140,historichansard_person_id
uk.org.publicwhip/person/10059,452,datadotparl_id
uk.org.publicwhip/person/10059,5100,pims_id
uk.org.publicwhip/person/10060,Q5584360,wikidata
uk.org.publicwhip/person/10060,141,historichansard_person_id
uk.org.publicwhip/person/10061,142,historichansard_person_id
uk.org.publicwhip/person/10061,230,datadotparl_id
uk.org.publicwhip/person/10061,4027,yournextmp
uk.org.publicwhip/person/10061,2260,pims_id
uk.org.publicwhip/person/10061,Q264618,wikidata
uk.org.publicwhip/person/10062,2262,pims_id
uk.org.publicwhip/person/10062,1433,yournextmp
uk.org.publicwhip/person/10062,Q264662,wikidata
uk.org.publicwhip/person/10062,143,historichansard_person_id
uk.org.publicwhip/person/10062,435,datadotparl_id
uk.org.publicwhip/person/10063,144,historichansard_person_id
uk.org.publicwhip/person/10063,151,datadotparl_id
uk.org.publicwhip/person/10063,3585,yournextmp
uk.org.publicwhip/person/10063,2268,pims_id
uk.org.publicwhip/person/10063,Q264720,wikidata
uk.org.publicwhip/person/10064,145,historichansard_person_id
uk.org.publicwhip/person/10064,Q7172937,wikidata
uk.org.publicwhip/person/10065,Q264827,wikidata
uk.org.publicwhip/person/10065,2279,pims_id
uk.org.publicwhip/person/10065,42,yournextmp
uk.org.publicwhip/person/10065,77,datadotparl_id
uk.org.publicwhip/person/10065,146,historichansard_person_id
uk.org.publicwhip/person/10066,147,historichansard_person_id
uk.org.publicwhip/person/10066,Q337608,wikidata
uk.org.publicwhip/person/10067,149,historichansard_person_id
uk.org.publicwhip/person/10067,154,datadotparl_id
uk.org.publicwhip/person/10067,2315,pims_id
uk.org.publicwhip/person/10067,Q334257,wikidata
uk.org.publicwhip/person/10068,591,datadotparl_id
uk.org.publicwhip/person/10068,Q10648,wikidata
uk.org.publicwhip/person/10068,150,historichansard_person_id
uk.org.publicwhip/person/10069,151,historichansard_person_id
uk.org.publicwhip/person/10069,523,datadotparl_id
uk.org.publicwhip/person/10069,1376,yournextmp
uk.org.publicwhip/person/10069,2330,pims_id
uk.org.publicwhip/person/10069,Q265935,wikidata
uk.org.publicwhip/person/10070,152,historichansard_person_id
uk.org.publicwhip/person/10070,588,datadotparl_id
uk.org.publicwhip/person/10070,2334,pims_id
uk.org.publicwhip/person/10070,Q266000,wikidata
uk.org.publicwhip/person/10071,Q332587,wikidata
uk.org.publicwhip/person/10071,5822,pims_id
uk.org.publicwhip/person/10071,153,historichansard_person_id
uk.org.publicwhip/person/10071,620,datadotparl_id
uk.org.publicwhip/person/10072,154,historichansard_person_id
uk.org.publicwhip/person/10072,236,datadotparl_id
uk.org.publicwhip/person/10072,5795,pims_id
uk.org.publicwhip/person/10072,Q532347,wikidata
uk.org.publicwhip/person/10073,155,historichansard_person_id
uk.org.publicwhip/person/10073,Q13529853,wikidata
uk.org.publicwhip/person/10074,615,datadotparl_id
uk.org.publicwhip/person/10074,156,historichansard_person_id
uk.org.publicwhip/person/10074,2343,pims_id
uk.org.publicwhip/person/10074,Q266113,wikidata
uk.org.publicwhip/person/10075,157,historichansard_person_id
uk.org.publicwhip/person/10075,199,datadotparl_id
uk.org.publicwhip/person/10075,1311,yournextmp
