id,redirect,current_constituency,current_party
uk.org.publicwhip/person/10112,,,
uk.org.publicwhip/person/10113,,,
uk.org.publicwhip/person/10114,,,
uk.org.publicwhip/person/10115,,Rushcliffe,Conservative
uk.org.publicwhip/person/10116,,"Coatbridge, Chryston and Bellshill",Labour
uk.org.publicwhip/person/10117,,,
uk.org.publicwhip/person/10118,,,
uk.org.publicwhip/person/10119,,The Cotswolds,Conservative
uk.org.publicwhip/person/10120,,Cynon Valley,Labour
uk.org.publicwhip/person/10121,,Gedling,Labour
uk.org.publicwhip/person/10122,,Stockport,Labour
uk.org.publicwhip/person/10123,,,
uk.org.publicwhip/person/10124,,,
uk.org.publicwhip/person/10125,,,
uk.org.publicwhip/person/10126,,,
uk.org.publicwhip/person/10127,,,
uk.org.publicwhip/person/10128,,Linlithgow and East Falkirk,Labour
uk.org.publicwhip/person/10129,,,
uk.org.publicwhip/person/10130,,,
uk.org.publicwhip/person/10131,,"Normanton, Pontefract and Castleford",Labour
uk.org.publicwhip/person/10132,,,
uk.org.publicwhip/person/10133,,Islington North,Labour
uk.org.publicwhip/person/10134,,,
uk.org.publicwhip/person/10135,,,
uk.org.publicwhip/person/10136,,,
uk.org.publicwhip/person/10137,,,
uk.org.publicwhip/person/10138,,,
uk.org.publicwhip/person/10139,,,
uk.org.publicwhip/person/10140,,,
uk.org.publicwhip/person/10141,,Bolton North East,Labour
uk.org.publicwhip/person/10142,,,
uk.org.publicwhip/person/10143,,Leyton and Wanstead,Labour
uk.org.publicwhip/person/10144,,,
uk.org.publicwhip/person/10145,,,
uk.org.publicwhip/person/10146,,,
uk.org.publicwhip/person/10147,,Coventry South,Labour
uk.org.publicwhip/person/10148,,,
uk.org.publicwhip/person/10149,,,
uk.org.publicwhip/person/10150,,,
uk.org.publicwhip/person/10151,,,
uk.org.publicwhip/person/10152,,,
uk.org.publicwhip/person/10153,,Edinburgh South West,Labour
uk.org.publicwhip/person/10154,,,
uk.org.publicwhip/person/10155,,Kingston and Surbiton,Liberal Democrat
uk.org.publicwhip/person/10156,,,
uk.org.publicwhip/person/10157,,Glasgow South West,Labour
uk.org.publicwhip/person/10158,,,
uk.org.publicwhip/person/10159,,Swansea West,Labour
uk.org.publicwhip/person/10160,,,
uk.org.publicwhip/person/10161,,,
uk.org.publicwhip/person/10162,,Haltemprice and Howden,Conservative
uk.org.publicwhip/person/10163,,,
uk.org.publicwhip/person/10164,,,
uk.org.publicwhip/person/10165,,,
uk.org.publicwhip/person/10166,,,
uk.org.publicwhip/person/10167,,"Southampton, Itchen",Labour
uk.org.publicwhip/person/10168,,,
uk.org.publicwhip/person/10169,,,
uk.org.publicwhip/person/10170,,,
uk.org.publicwhip/person/10171,,Holborn and St Pancras,Labour
uk.org.publicwhip/person/10172,,Lagan Valley,DUP
uk.org.publicwhip/person/10173,,Central Ayrshire,Labour
uk.org.publicwhip/person/10174,,Aberdeen North,Labour
uk.org.publicwhip/person/10175,,Charnwood,Conservative
uk.org.publicwhip/person/10176,,Lewisham West and Penge,Labour
uk.org.publicwhip/person/10177,,,
uk.org.publicwhip/person/10178,,,
uk.org.publicwhip/person/10179,,Rutland and Melton,Conservative
uk.org.publicwhip/person/10180,,Chingford and Woodford Green,Conservative
uk.org.publicwhip/person/10181,,,
uk.org.publicwhip/person/10182,,Wallasey,Labour
uk.org.publicwhip/person/10183,,Garston and Halewood,Labour
uk.org.publicwhip/person/10184,,,
uk.org.publicwhip/person/10185,,Eltham,Labour
uk.org.publicwhip/person/10186,,"Liverpool, Riverside",Labour
uk.org.publicwhip/person/10187,,,
uk.org.publicwhip/person/10188,,,
uk.org.publicwhip/person/10189,,,
uk.org.publicwhip/person/10190,,Ribble Valley,Conservative
uk.org.publicwhip/person/10191,,,
uk.org.publicwhip/person/10192,,,
uk.org.publicwhip/person/10193,,Lichfield,Conservative
uk.org.publicwhip/person/10194,,Sevenoaks,Conservative
uk.org.publicwhip/person/10195,,,
uk.org.publicwhip/person/10196,,,
uk.org.publicwhip/person/10197,,Birkenhead,Labour
uk.org.publicwhip/person/10198,,,
uk.org.publicwhip/person/10199,,Poplar and Limehouse,Labour
uk.org.publicwhip/person/10200,,,
uk.org.publicwhip/person/10201,,,
uk.org.publicwhip/person/10202,,Don Valley,Labour
uk.org.publicwhip/person/10203,,Newport West,Labour
uk.org.publicwhip/person/10204,,,
uk.org.publicwhip/person/10205,,,
uk.org.publicwhip/person/10206,,,
uk.org.publicwhip/person/10207,,,
uk.org.publicwhip/person/10208,,Bath,Liberal Democrat
uk.org.publicwhip/person/10209,,,
uk.org.publicwhip/person/10210,,,
uk.org.publicwhip/person/10211,,,
uk.org.publicwhip/person/10212,,,
uk.org.publicwhip/person/10213,,North Somerset,Conservative
uk.org.publicwhip/person/10214,,,
uk.org.publicwhip/person/10215,,,
uk.org.publicwhip/person/10216,,,
uk.org.publicwhip/person/10217,,North Thanet,Conservative
uk.org.publicwhip/person/10218,,Bradford West,Respect
uk.org.publicwhip/person/10219,,Ilford South,Labour
uk.org.publicwhip/person/10220,,Brent North,Labour
uk.org.publicwhip/person/10221,,Harborough,Conservative
uk.org.publicwhip/person/10222,,St Ives,Liberal Democrat
uk.org.publicwhip/person/10223,,,
uk.org.publicwhip/person/10224,,,
uk.org.publicwhip/person/10225,,Bognor Regis and Littlehampton,Conservative
uk.org.publicwhip/person/10226,,,
uk.org.publicwhip/person/10227,,,
uk.org.publicwhip/person/10228,,Chesham and Amersham,Conservative
uk.org.publicwhip/person/10229,,,
uk.org.publicwhip/person/10230,,,
uk.org.publicwhip/person/10231,,"Birmingham, Hall Green",Labour
uk.org.publicwhip/person/10232,,,
uk.org.publicwhip/person/10233,,,
uk.org.publicwhip/person/10234,,,
uk.org.publicwhip/person/10235,,,
uk.org.publicwhip/person/10236,,,
uk.org.publicwhip/person/10237,,,
uk.org.publicwhip/person/10238,,,
uk.org.publicwhip/person/10239,,,
uk.org.publicwhip/person/10240,,North Wiltshire,Conservative
uk.org.publicwhip/person/10241,,Ashford,Conservative
uk.org.publicwhip/person/10242,,,
uk.org.publicwhip/person/10243,,Beaconsfield,Conservative
uk.org.publicwhip/person/10244,,,
uk.org.publicwhip/person/10245,,,
uk.org.publicwhip/person/10246,,,
uk.org.publicwhip/person/10247,,,
uk.org.publicwhip/person/10248,,,
uk.org.publicwhip/person/10249,,,
uk.org.publicwhip/person/10250,,,
uk.org.publicwhip/person/10251,,Richmond (Yorks),Conservative
uk.org.publicwhip/person/10252,,Neath,Labour
uk.org.publicwhip/person/10253,,,
uk.org.publicwhip/person/10254,,,
uk.org.publicwhip/person/10255,,,
uk.org.publicwhip/person/10256,,Leeds North East,Labour
uk.org.publicwhip/person/10257,,Runnymede and Weybridge,Conservative
uk.org.publicwhip/person/10258,,Portsmouth South,Independent
uk.org.publicwhip/person/10259,,Delyn,Labour
uk.org.publicwhip/person/10260,,Camberwell and Peckham,Labour
uk.org.publicwhip/person/10261,,,
uk.org.publicwhip/person/10262,,North Devon,Liberal Democrat
uk.org.publicwhip/person/10263,,Saffron Walden,Conservative
uk.org.publicwhip/person/10264,,,
uk.org.publicwhip/person/10265,,South Holland and The Deepings,Conservative
uk.org.publicwhip/person/10266,,,
uk.org.publicwhip/person/10267,,North East Hertfordshire,Conservative
uk.org.publicwhip/person/10268,,Wentworth and Dearne,Labour
uk.org.publicwhip/person/10269,,Somerton and Frome,Liberal Democrat
uk.org.publicwhip/person/10270,,,
uk.org.publicwhip/person/10271,,,
uk.org.publicwhip/person/10272,,,
uk.org.publicwhip/person/10273,,,
uk.org.publicwhip/person/10274,,Jarrow,Labour
uk.org.publicwhip/person/10275,,,
uk.org.publicwhip/person/10276,,,
uk.org.publicwhip/person/10277,,,
uk.org.publicwhip/person/10278,,,
uk.org.publicwhip/person/10279,,,
uk.org.publicwhip/person/10280,,,
uk.org.publicwhip/person/10281,,Barking,Labour
uk.org.publicwhip/person/10282,,Vauxhall,Labour
uk.org.publicwhip/person/10283,,,
uk.org.publicwhip/person/10284,,,
uk.org.publicwhip/person/10285,,Lanark and Hamilton East,Labour
uk.org.publicwhip/person/10286,,,
uk.org.publicwhip/person/10287,,,
uk.org.publicwhip/person/10288,,Luton North,Labour
uk.org.publicwhip/person/10289,,,
uk.org.publicwhip/person/10290,,,
uk.org.publicwhip/person/10291,,,
uk.org.publicwhip/person/10292,,Knowsley,Labour
uk.org.publicwhip/person/10293,,Aldershot,Conservative
uk.org.publicwhip/person/10294,,,
uk.org.publicwhip/person/10295,,Chorley,Labour
uk.org.publicwhip/person/10296,,,
uk.org.publicwhip/person/10297,,,
uk.org.publicwhip/person/10298,,Bermondsey and Old Southwark,Liberal Democrat
uk.org.publicwhip/person/10299,,,
uk.org.publicwhip/person/10300,,,
uk.org.publicwhip/person/10301,,,
uk.org.publicwhip/person/10302,,,
uk.org.publicwhip/person/10303,,,
uk.org.publicwhip/person/10304,,,
uk.org.publicwhip/person/10305,,,
uk.org.publicwhip/person/10306,,,
uk.org.publicwhip/person/10307,,,
uk.org.publicwhip/person/10308,,Hampstead and Kilburn,Labour
uk.org.publicwhip/person/10309,,,
uk.org.publicwhip/person/10310,,,
uk.org.publicwhip/person/10311,,,
uk.org.publicwhip/person/10312,,Harwich and North Essex,Conservative
uk.org.publicwhip/person/10313,,,
uk.org.publicwhip/person/10314,,Kingston upon Hull West and Hessle,Labour
uk.org.publicwhip/person/10315,,,
uk.org.publicwhip/person/10316,,,
uk.org.publicwhip/person/10317,,,
uk.org.publicwhip/person/10318,,,
uk.org.publicwhip/person/10319,,Warrington North,Labour
uk.org.publicwhip/person/10320,,,
uk.org.publicwhip/person/10321,,,
uk.org.publicwhip/person/10322,,,
uk.org.publicwhip/person/10323,,,
uk.org.publicwhip/person/10324,,,
uk.org.publicwhip/person/10325,,,
uk.org.publicwhip/person/10326,,Dulwich and West Norwood,Labour
uk.org.publicwhip/person/10327,,"Manchester, Gorton",Labour
uk.org.publicwhip/person/10328,,,
uk.org.publicwhip/person/10329,,,
uk.org.publicwhip/person/10330,,,
uk.org.publicwhip/person/10331,,,
uk.org.publicwhip/person/10332,,,
uk.org.publicwhip/person/10333,,,
uk.org.publicwhip/person/10334,,"Ross, Skye and Lochaber",Liberal Democrat
uk.org.publicwhip/person/10335,,,
uk.org.publicwhip/person/10336,,,
uk.org.publicwhip/person/10337,,,
uk.org.publicwhip/person/10338,,,
uk.org.publicwhip/person/10339,,,
uk.org.publicwhip/person/10340,,,
uk.org.publicwhip/person/10341,,,
uk.org.publicwhip/person/10342,,,
uk.org.publicwhip/person/10343,,,
uk.org.publicwhip/person/10344,,,
uk.org.publicwhip/person/10345,,,
uk.org.publicwhip/person/10346,,,
uk.org.publicwhip/person/10347,,,
uk.org.publicwhip/person/10348,,Epping Forest,Conservative
uk.org.publicwhip/person/10349,,South Cambridgeshire,Conservative
uk.org.publicwhip/person/10350,,,
uk.org.publicwhip/person/10351,,,
uk.org.publicwhip/person/10352,,Gainsborough,Conservative
uk.org.publicwhip/person/10353,,,
uk.org.publicwhip/person/10354,,Nottingham East,Labour
uk.org.publicwhip/person/10355,,West Dorset,Conservative
uk.org.publicwhip/person/10356,,,
uk.org.publicwhip/person/10357,,Bury South,Labour
uk.org.publicwhip/person/10358,,New Forest East,Conservative
uk.org.publicwhip/person/10359,,,
uk.org.publicwhip/person/10360,,,
uk.org.publicwhip/person/10361,,Aylesbury,Conservative
uk.org.publicwhip/person/10362,,Hitchin and Harpenden,Conservative
uk.org.publicwhip/person/10363,,,
uk.org.publicwhip/person/10364,,,
uk.org.publicwhip/person/10365,,,
uk.org.publicwhip/person/10366,,,
uk.org.publicwhip/person/10367,,,
uk.org.publicwhip/person/10368,,Dwyfor Meirionnydd,Plaid Cymru
uk.org.publicwhip/person/10369,,,
uk.org.publicwhip/person/10370,,,
uk.org.publicwhip/person/10371,,East Worthing and Shoreham,Conservative
uk.org.publicwhip/person/10372,,Edmonton,Labour
uk.org.publicwhip/person/10373,,Mid Worcestershire,Conservative
uk.org.publicwhip/person/10374,,,
uk.org.publicwhip/person/10375,,,
uk.org.publicwhip/person/10376,,,
uk.org.publicwhip/person/10377,,"Birmingham, Selly Oak",Labour
uk.org.publicwhip/person/10378,,,
uk.org.publicwhip/person/10379,,,
uk.org.publicwhip/person/10380,,,
uk.org.publicwhip/person/10381,,Mitcham and Morden,Labour
uk.org.publicwhip/person/10382,,,
uk.org.publicwhip/person/10383,,Hayes and Harlington,Labour
uk.org.publicwhip/person/10384,,,
uk.org.publicwhip/person/10385,,,
uk.org.publicwhip/person/10386,,,
uk.org.publicwhip/person/10387,,,
uk.org.publicwhip/person/10388,,Stirling,Labour
uk.org.publicwhip/person/10389,,,Conservative
uk.org.publicwhip/person/10390,,,
uk.org.publicwhip/person/10391,,,
uk.org.publicwhip/person/10392,,,
uk.org.publicwhip/person/10393,,,
uk.org.publicwhip/person/10394,,,
uk.org.publicwhip/person/10395,,,
uk.org.publicwhip/person/10396,,,
uk.org.publicwhip/person/10397,,Derbyshire Dales,Conservative
uk.org.publicwhip/person/10398,,,
uk.org.publicwhip/person/10399,,,
uk.org.publicwhip/person/10400,,,
uk.org.publicwhip/person/10401,,,
uk.org.publicwhip/person/10402,,Slough,Labour
uk.org.publicwhip/person/10403,,,
uk.org.publicwhip/person/10404,,,
uk.org.publicwhip/person/10405,,,
uk.org.publicwhip/person/10406,,,
uk.org.publicwhip/person/10407,,,
uk.org.publicwhip/person/10408,,,
uk.org.publicwhip/person/10409,,,
uk.org.publicwhip/person/10410,,,
uk.org.publicwhip/person/10411,,,
uk.org.publicwhip/person/10412,,,
uk.org.publicwhip/person/10413,,,
uk.org.publicwhip/person/10414,,,
uk.org.publicwhip/person/10415,,Blackpool South,Labour
uk.org.publicwhip/person/10416,,,
uk.org.publicwhip/person/10417,,,
uk.org.publicwhip/person/10418,,,
uk.org.publicwhip/person/10419,,,
uk.org.publicwhip/person/10420,,,
uk.org.publicwhip/person/10421,,,
uk.org.publicwhip/person/10422,,,
uk.org.publicwhip/person/10423,,Horsham,Conservative
uk.org.publicwhip/person/10424,,,
uk.org.publicwhip/person/10425,,,
uk.org.publicwhip/person/10426,,Maidenhead,Conservative
uk.org.publicwhip/person/10427,,Oldham West and Royton,Labour
uk.org.publicwhip/person/10428,,Mansfield,Labour
uk.org.publicwhip/person/10429,,,
uk.org.publicwhip/person/10430,,,
uk.org.publicwhip/person/10431,,,
uk.org.publicwhip/person/10432,,,
uk.org.publicwhip/person/10433,,,
uk.org.publicwhip/person/10434,,,
uk.org.publicwhip/person/10435,,Ellesmere Port and Neston,Labour
uk.org.publicwhip/person/10436,,Great Grimsby,Labour
uk.org.publicwhip/person/10437,,,
uk.org.publicwhip/person/10438,,,
uk.org.publicwhip/person/10439,,"Berwickshire, Roxburgh and Selkirk",Liberal Democrat
uk.org.publicwhip/person/10440,,,
uk.org.publicwhip/person/10441,,,
uk.org.publicwhip/person/10442,,,
uk.org.publicwhip/person/10443,,,
uk.org.publicwhip/person/10444,,,
uk.org.publicwhip/person/10445,,,
uk.org.publicwhip/person/10446,,,
uk.org.publicwhip/person/10447,,,
uk.org.publicwhip/person/10448,,,
uk.org.publicwhip/person/10449,,,
uk.org.publicwhip/person/10450,,Leeds East,Labour
uk.org.publicwhip/person/10451,,,
uk.org.publicwhip/person/10452,,,
uk.org.publicwhip/person/10453,,East Renfrewshire,Labour
uk.org.publicwhip/person/10454,,Torfaen,Labour
uk.org.publicwhip/person/10455,,,
uk.org.publicwhip/person/10456,,,
uk.org.publicwhip/person/10457,,,
uk.org.publicwhip/person/10458,,,
uk.org.publicwhip/person/10459,,,
uk.org.publicwhip/person/10460,,,
uk.org.publicwhip/person/10461,,,
uk.org.publicwhip/person/10462,,,
uk.org.publicwhip/person/10463,,,
uk.org.publicwhip/person/10464,,,
uk.org.publicwhip/person/10465,,,
uk.org.publicwhip/person/10466,,,
uk.org.publicwhip/person/10467,,"Ayr, Carrick and Cumnock",Labour
uk.org.publicwhip/person/10468,,Croydon South,Conservative
uk.org.publicwhip/person/10469,,,
uk.org.publicwhip/person/10470,,South East Cambridgeshire,Conservative
uk.org.publicwhip/person/10471,,,
uk.org.publicwhip/person/10472,,,
uk.org.publicwhip/person/10473,,North Shropshire,Conservative
uk.org.publicwhip/person/10474,,,
uk.org.publicwhip/person/10475,,,
uk.org.publicwhip/person/10476,,,
uk.org.publicwhip/person/10477,,Brentwood and Ongar,Conservative
uk.org.publicwhip/person/10478,,,
uk.org.publicwhip/person/10479,,,
uk.org.publicwhip/person/10480,,,
uk.org.publicwhip/person/10481,,,
uk.org.publicwhip/person/10482,,,
uk.org.publicwhip/person/10483,,,
uk.org.publicwhip/person/10484,,Ealing North,Labour
uk.org.publicwhip/person/10485,,,
uk.org.publicwhip/person/10486,,,
uk.org.publicwhip/person/10487,,,
uk.org.publicwhip/person/10488,,,
uk.org.publicwhip/person/10489,,Bristol South,Labour
uk.org.publicwhip/person/10490,,,
uk.org.publicwhip/person/10491,,,
uk.org.publicwhip/person/10492,,,
uk.org.publicwhip/person/10493,,,
uk.org.publicwhip/person/10494,,,
uk.org.publicwhip/person/10495,,,
uk.org.publicwhip/person/10496,,,
uk.org.publicwhip/person/10497,,,
uk.org.publicwhip/person/10498,,Greenwich and Woolwich,Labour
uk.org.publicwhip/person/10499,,Wokingham,Conservative
uk.org.publicwhip/person/10500,,,
uk.org.publicwhip/person/10501,,,
uk.org.publicwhip/person/10502,,,
uk.org.publicwhip/person/10503,,South Leicestershire,Conservative
uk.org.publicwhip/person/10504,,,
uk.org.publicwhip/person/10505,,Tewkesbury,Conservative
uk.org.publicwhip/person/10506,,Coventry North West,Labour
uk.org.publicwhip/person/10507,,,
uk.org.publicwhip/person/10508,,,
uk.org.publicwhip/person/10509,,,
uk.org.publicwhip/person/10510,,,
uk.org.publicwhip/person/10511,,,
uk.org.publicwhip/person/10512,,,
uk.org.publicwhip/person/10513,,,
uk.org.publicwhip/person/10514,,,
uk.org.publicwhip/person/10515,,,
uk.org.publicwhip/person/10516,,,
uk.org.publicwhip/person/10517,,Motherwell and Wishaw,Labour
uk.org.publicwhip/person/10518,,Vale of Clwyd,Labour
uk.org.publicwhip/person/10519,,"Lewisham, Deptford",Labour
uk.org.publicwhip/person/10520,,Bury St Edmunds,Conservative
uk.org.publicwhip/person/10521,,Colchester,Liberal Democrat
uk.org.publicwhip/person/10522,,,
uk.org.publicwhip/person/10523,,,
uk.org.publicwhip/person/10524,,,
uk.org.publicwhip/person/10525,,,
uk.org.publicwhip/person/10526,,,
uk.org.publicwhip/person/10527,,Torbay,Liberal Democrat
uk.org.publicwhip/person/10528,,,
uk.org.publicwhip/person/10529,,,
uk.org.publicwhip/person/10530,,,
uk.org.publicwhip/person/10531,,,
uk.org.publicwhip/person/10532,,,
uk.org.publicwhip/person/10533,,,
uk.org.publicwhip/person/10534,,Huddersfield,Labour
uk.org.publicwhip/person/10535,,,
uk.org.publicwhip/person/10536,,,
uk.org.publicwhip/person/10537,,Aldridge-Brownhills,Conservative
uk.org.publicwhip/person/10538,,,
uk.org.publicwhip/person/10539,,,
uk.org.publicwhip/person/10540,,,
uk.org.publicwhip/person/10541,,,
uk.org.publicwhip/person/10542,,Broadland,Conservative
uk.org.publicwhip/person/10543,,,
uk.org.publicwhip/person/10544,,Bolsover,Labour
uk.org.publicwhip/person/10545,,Oxford East,Labour
uk.org.publicwhip/person/10546,,,
uk.org.publicwhip/person/10547,,,
uk.org.publicwhip/person/10548,,,
uk.org.publicwhip/person/10549,,,
uk.org.publicwhip/person/10550,,,
uk.org.publicwhip/person/10551,,,
uk.org.publicwhip/person/10552,,West Aberdeenshire and Kincardine,Liberal Democrat
uk.org.publicwhip/person/10553,,,
uk.org.publicwhip/person/10554,,,
uk.org.publicwhip/person/10555,,Mid Sussex,Conservative
uk.org.publicwhip/person/10556,,,
uk.org.publicwhip/person/10557,,,
uk.org.publicwhip/person/10558,,Warley,Labour
uk.org.publicwhip/person/10559,,Meriden,Conservative
uk.org.publicwhip/person/10560,,,
uk.org.publicwhip/person/10561,,,
uk.org.publicwhip/person/10562,,,
uk.org.publicwhip/person/10563,,Tonbridge and Malling,Conservative
uk.org.publicwhip/person/10564,,,
uk.org.publicwhip/person/10565,,,
uk.org.publicwhip/person/10566,,,
uk.org.publicwhip/person/10567,,,
uk.org.publicwhip/person/10568,,,
uk.org.publicwhip/person/10569,,,
uk.org.publicwhip/person/10570,,,
uk.org.publicwhip/person/10571,,,
uk.org.publicwhip/person/10572,,,
uk.org.publicwhip/person/10573,,,
uk.org.publicwhip/person/10574,,Blackburn,Labour
uk.org.publicwhip/person/10575,,South West Devon,Conservative
uk.org.publicwhip/person/10576,,Blackley and Broughton,Labour
uk.org.publicwhip/person/10577,,"Birmingham, Edgbaston",Labour
uk.org.publicwhip/person/10578,,Hazel Grove,Liberal Democrat
uk.org.publicwhip/person/10579,,Bradford South,Labour
uk.org.publicwhip/person/10580,,New Forest West,Conservative
uk.org.publicwhip/person/10581,,,
uk.org.publicwhip/person/10582,,Poole,Conservative
uk.org.publicwhip/person/10583,,Louth and Horncastle,Conservative
uk.org.publicwhip/person/10584,,,
uk.org.publicwhip/person/10585,,,
uk.org.publicwhip/person/10586,,,
uk.org.publicwhip/person/10587,,,
uk.org.publicwhip/person/10588,,,
uk.org.publicwhip/person/10589,,,
uk.org.publicwhip/person/10590,,,
uk.org.publicwhip/person/10591,,,
uk.org.publicwhip/person/10592,,,
uk.org.publicwhip/person/10593,,,
uk.org.publicwhip/person/10594,,Harrow West,Labour
uk.org.publicwhip/person/10595,,,
uk.org.publicwhip/person/10596,,East Ham,Labour
uk.org.publicwhip/person/10597,,,
uk.org.publicwhip/person/10598,,,
uk.org.publicwhip/person/10599,,,
uk.org.publicwhip/person/10600,,,
uk.org.publicwhip/person/10601,,,
uk.org.publicwhip/person/10602,,Bosworth,Conservative
uk.org.publicwhip/person/10603,,,
uk.org.publicwhip/person/10604,,Hemsworth,Labour
uk.org.publicwhip/person/10605,,,
uk.org.publicwhip/person/10606,,,
uk.org.publicwhip/person/10607,,,
uk.org.publicwhip/person/10608,,,
uk.org.publicwhip/person/10609,,,
uk.org.publicwhip/person/10610,,Halton,Labour
uk.org.publicwhip/person/10611,,"Liverpool, West Derby",Labour
uk.org.publicwhip/person/10612,,,
uk.org.publicwhip/person/10613,,Chichester,Conservative
uk.org.publicwhip/person/10614,,Leicester East,Labour
uk.org.publicwhip/person/10615,,,
uk.org.publicwhip/person/10616,,,
uk.org.publicwhip/person/10617,,,
uk.org.publicwhip/person/10618,,,
uk.org.publicwhip/person/10619,,Stoke-on-Trent North,Labour
