id,redirect,current_constituency,current_party
uk.org.publicwhip/person/10001,,Hackney North and Stoke Newington,Labour
uk.org.publicwhip/person/10002,,,
uk.org.publicwhip/person/10003,,,
uk.org.publicwhip/person/10004,,,
uk.org.publicwhip/person/10005,,Coventry North East,Labour
uk.org.publicwhip/person/10006,,,
uk.org.publicwhip/person/10007,,,
uk.org.publicwhip/person/10008,,Nottingham North,Labour
uk.org.publicwhip/person/10009,,Southend West,Conservative
uk.org.publicwhip/person/10010,,,
uk.org.publicwhip/person/10011,,,
uk.org.publicwhip/person/10012,,,
uk.org.publicwhip/person/10013,,North East Hampshire,Conservative
uk.org.publicwhip/person/10014,,,
uk.org.publicwhip/person/10015,,,
uk.org.publicwhip/person/10016,,,
uk.org.publicwhip/person/10017,,,
uk.org.publicwhip/person/10018,,,
uk.org.publicwhip/person/10019,,,
uk.org.publicwhip/person/10020,,,
uk.org.publicwhip/person/10021,,,
uk.org.publicwhip/person/10022,,Lewes,Liberal Democrat
uk.org.publicwhip/person/10023,,Banbury,Conservative
uk.org.publicwhip/person/10024,,,
uk.org.publicwhip/person/10025,,,
uk.org.publicwhip/person/10026,,,
uk.org.publicwhip/person/10027,,Rother Valley,Labour
uk.org.publicwhip/person/10028,,,
uk.org.publicwhip/person/10029,,York Central,Labour
uk.org.publicwhip/person/10030,,,
uk.org.publicwhip/person/10031,,Derby South,Labour
uk.org.publicwhip/person/10032,,Aberdeen South,Labour
uk.org.publicwhip/person/10033,,,
uk.org.publicwhip/person/10034,,Berwick-upon-Tweed,Liberal Democrat
uk.org.publicwhip/person/10035,,,
uk.org.publicwhip/person/10036,,,
uk.org.publicwhip/person/10037,,,
uk.org.publicwhip/person/10038,,,
uk.org.publicwhip/person/10039,,Bootle,Labour
uk.org.publicwhip/person/10040,,Buckingham,Speaker
uk.org.publicwhip/person/10041,,Mole Valley,Conservative
uk.org.publicwhip/person/10042,,,
uk.org.publicwhip/person/10043,,,
uk.org.publicwhip/person/10044,,,
uk.org.publicwhip/person/10045,,Sheffield South East,Labour
uk.org.publicwhip/person/10046,,,
uk.org.publicwhip/person/10047,,,
uk.org.publicwhip/person/10048,,Salford and Eccles,Labour
uk.org.publicwhip/person/10049,,,
uk.org.publicwhip/person/10050,,"Sheffield, Brightside and Hillsborough",Labour
uk.org.publicwhip/person/10051,,Reigate,Conservative
uk.org.publicwhip/person/10052,,,
uk.org.publicwhip/person/10053,,,
uk.org.publicwhip/person/10054,,,
uk.org.publicwhip/person/10055,,,
uk.org.publicwhip/person/10056,,,
uk.org.publicwhip/person/10057,,Worthing West,Conservative
uk.org.publicwhip/person/10058,,,
uk.org.publicwhip/person/10059,,,
uk.org.publicwhip/person/10060,,,
uk.org.publicwhip/person/10061,,Exeter,Labour
uk.org.publicwhip/person/10062,,Altrincham and Sale West,Conservative
uk.org.publicwhip/person/10063,,Carshalton and Wallington,Liberal Democrat
uk.org.publicwhip/person/10064,,,
uk.org.publicwhip/person/10065,,Canterbury,Conservative
uk.org.publicwhip/person/10066,,,
uk.org.publicwhip/person/10067,,,
uk.org.publicwhip/person/10068,,Kirkcaldy and Cowdenbeath,Labour
uk.org.publicwhip/person/10069,,Newcastle upon Tyne East,Labour
uk.org.publicwhip/person/10070,,Dumfries and Galloway,Labour
uk.org.publicwhip/person/10071,,,
uk.org.publicwhip/person/10072,,,
uk.org.publicwhip/person/10073,,,
uk.org.publicwhip/person/10074,,Gordon,Liberal Democrat
uk.org.publicwhip/person/10075,,Westminster North,Labour
uk.org.publicwhip/person/10076,,"Birmingham, Northfield",Labour
uk.org.publicwhip/person/10077,,,
uk.org.publicwhip/person/10078,,,
uk.org.publicwhip/person/10079,,Chelmsford,Conservative
uk.org.publicwhip/person/10080,,Sutton and Cheam,Liberal Democrat
uk.org.publicwhip/person/10081,,,
uk.org.publicwhip/person/10082,,,
uk.org.publicwhip/person/10083,,,
uk.org.publicwhip/person/10084,,Twickenham,Liberal Democrat
uk.org.publicwhip/person/10085,,,
uk.org.publicwhip/person/10086,,Tynemouth,Labour
uk.org.publicwhip/person/10087,,,
uk.org.publicwhip/person/10088,,North East Fife,Liberal Democrat
uk.org.publicwhip/person/10089,,Blyth Valley,Labour
uk.org.publicwhip/person/10090,,,
uk.org.publicwhip/person/10091,,,
uk.org.publicwhip/person/10092,,,
uk.org.publicwhip/person/10093,,,
uk.org.publicwhip/person/10094,,,
uk.org.publicwhip/person/10095,,Stone,Conservative
uk.org.publicwhip/person/10096,,Gower,Labour
uk.org.publicwhip/person/10097,,,
uk.org.publicwhip/person/10098,,,
uk.org.publicwhip/person/10099,,,
uk.org.publicwhip/person/10100,,,
uk.org.publicwhip/person/10101,,,
uk.org.publicwhip/person/10102,,,
uk.org.publicwhip/person/10103,,Christchurch,Conservative
uk.org.publicwhip/person/10104,,,
uk.org.publicwhip/person/10105,,,
uk.org.publicwhip/person/10106,,Hertsmere,Conservative
uk.org.publicwhip/person/10107,,,
uk.org.publicwhip/person/10108,,,
uk.org.publicwhip/person/10109,,,
uk.org.publicwhip/person/10110,,,
uk.org.publicwhip/person/10111,,,
